time,count
2013-01-12 03,42633
2013-01-12 04,42127
2013-01-12 05,40786
2013-01-12 06,37856
2013-01-12 07,33036
2013-01-12 08,27657
2013-01-12 09,22724
2013-01-12 10,19125
2013-01-12 11,17007
2013-01-12 12,16068
2013-01-12 13,16577
2013-01-12 14,19949
2013-01-12 15,25515
2013-01-12 16,33246
2013-01-12 17,37261
2013-01-12 18,41568
2013-01-12 19,44336
2013-01-12 20,44419
2013-01-12 21,43449
2013-01-12 22,46398
2013-01-12 23,47322
2013-01-13 00,48146
2013-01-13 01,47758
2013-01-13 02,49947
2013-01-13 03,48280
2013-01-13 04,46020
2013-01-13 05,46641
2013-01-13 06,43194
2013-01-13 07,37905
2013-01-13 08,32188
2013-01-13 09,26112
2013-01-13 10,21519
2013-01-13 11,18324
2013-01-13 12,16322
2013-01-13 13,16479
2013-01-13 14,19757
2013-01-13 15,25348
2013-01-13 16,31489
2013-01-13 17,38973
2013-01-13 18,44599
2013-01-13 19,50275
2013-01-13 20,52257
2013-01-13 21,52253
2013-01-13 22,55319
2013-01-13 23,53033
2013-01-14 00,50941
2013-01-14 01,50627
2013-01-14 02,47329
2013-01-14 03,47728
2013-01-14 04,49640
2013-01-14 05,48533
2013-01-14 06,44672
2013-01-14 07,37264
2013-01-14 08,29621
2013-01-14 09,23635
2013-01-14 10,19434
2013-01-14 11,16116
2013-01-14 12,16273
2013-01-14 13,19393
2013-01-14 14,24261
2013-01-14 15,32275
2013-01-14 16,38324
2013-01-14 17,46581
2013-01-14 18,49767
2013-01-14 19,51647
2013-01-14 20,53786
2013-01-14 21,57544
2013-01-14 22,61485
2013-01-14 23,60756
2013-01-15 00,60158
2013-01-15 01,53009
2013-01-15 02,52000
2013-01-15 03,53334
2013-01-15 04,54878
2013-01-15 05,50782
2013-01-15 06,45379
2013-01-15 07,38733
2013-01-15 08,30771
2013-01-15 09,24025
2013-01-15 10,19154
2013-01-15 11,17080
2013-01-15 12,17320
2013-01-15 13,20926
2013-01-15 14,26742
2013-01-15 15,34813
2013-01-15 16,42602
2013-01-15 17,48805
2013-01-15 18,55161
2013-01-15 19,58969
2013-01-15 20,59733
2013-01-15 21,55267
2013-01-15 22,55366
2013-01-15 23,52045
2013-01-16 00,50973
2013-01-16 01,49692
2013-01-16 02,49892
2013-01-16 03,52360
2013-01-16 04,52228
2013-01-16 05,51189
2013-01-16 06,43953
2013-01-16 07,37066
2013-01-16 08,29267
2013-01-16 09,23670
2013-01-16 10,19445
2013-01-16 11,17536
2013-01-16 12,18084
2013-01-16 13,21904
2013-01-16 14,28293
2013-01-16 15,37271
2013-01-16 16,46158
2013-01-16 17,52800
2013-01-16 18,56609
2013-01-16 19,59221
2013-01-16 20,59734
2013-01-16 21,60950
2013-01-16 22,63180
2013-01-16 23,60678
2013-01-17 00,57099
2013-01-17 01,53992
2013-01-17 02,54622
2013-01-17 03,56781
2013-01-17 04,57886
2013-01-17 05,56121
2013-01-17 06,48654
2013-01-17 07,39233
2013-01-17 08,31803
2013-01-17 09,25953
2013-01-17 10,20288
2013-01-17 11,17538
2013-01-17 12,18942
2013-01-17 13,22554
2013-01-17 14,28580
2013-01-17 15,37450
2013-01-17 16,46002
2013-01-17 17,52337
2013-01-17 18,56966
2013-01-17 19,59667
2013-01-17 20,58919
2013-01-17 21,58849
2013-01-17 22,59754
2013-01-17 23,55671
2013-01-18 00,53311
2013-01-18 01,49844
2013-01-18 02,48636
2013-01-18 03,50472
2013-01-18 04,50804
2013-01-18 05,50314
2013-01-18 06,45165
2013-01-18 07,37506
2013-01-18 08,29590
2013-01-18 09,23968
2013-01-18 10,20398
2013-01-18 11,18258
2013-01-18 12,18700
2013-01-18 13,22075
2013-01-18 14,29056
2013-01-18 15,39652
2013-01-18 16,48653
2013-01-18 17,55833
2013-01-18 18,58091
2013-01-18 19,57584
2013-01-18 20,58005
2013-01-18 21,55453
2013-01-18 22,54678
2013-01-18 23,52340
2013-01-19 00,48586
2013-01-19 01,45489
2013-01-19 02,42368
2013-01-19 03,41949
2013-01-19 04,41590
2013-01-19 05,40608
2013-01-19 06,39107
2013-01-19 07,35246
2013-01-19 08,29510
2013-01-19 09,24432
2013-01-19 10,19268
2013-01-19 11,16330
2013-01-19 12,15889
2013-01-19 13,16752
2013-01-19 14,21122
2013-01-19 15,26927
2013-01-19 16,34846
2013-01-19 17,43098
2013-01-19 18,44730
2013-01-19 19,46343
2013-01-19 20,45580
2013-01-19 21,44891
2013-01-19 22,45118
2013-01-19 23,44350
2013-01-20 00,44532
2013-01-20 01,43045
2013-01-20 02,43363
2013-01-20 03,43271
2013-01-20 04,42341
2013-01-20 05,40588
2013-01-20 06,39116
2013-01-20 07,34598
2013-01-20 08,29140
2013-01-20 09,23689
2013-01-20 10,20640
2013-01-20 11,18403
2013-01-20 12,16257
2013-01-20 13,17139
2013-01-20 14,20484
2013-01-20 15,27437
2013-01-20 16,34365
2013-01-20 17,42570
2013-01-20 18,48793
2013-01-20 19,50257
2013-01-20 20,49875
2013-01-20 21,52606
2013-01-20 22,51552
2013-01-20 23,54049
2013-01-21 00,53912
2013-01-21 01,51424
2013-01-21 02,51917
2013-01-21 03,56925
2013-01-21 04,51394
2013-01-21 05,48315
2013-01-21 06,44622
2013-01-21 07,39074
2013-01-21 08,32281
2013-01-21 09,25712
2013-01-21 10,20665
2013-01-21 11,17457
2013-01-21 12,16582
