timestamp,data,prediction-5step
int,float,float
,,

,,
0,358.0,73398.2184122222970
1,475.0,76204.0528885555977
2,512.0,78832.3370219889184
3,476.0,80454.0359153922327
4,550.0,80587.2251407745644
5,520.0,358.0000000000000
6,533.0,475.0000000000000
7,509.0,512.0000000000000
8,459.0,476.0000000000000
9,422.0,550.0000000000000
10,379.0,520.0000000000000
11,343.0,533.0000000000000
12,325.0,509.0000000000000
13,292.0,459.0000000000000
14,304.0,422.0000000000000
15,254.0,379.0000000000000
16,212.0,343.0000000000000
17,194.0,325.0000000000000
18,155.0,292.0000000000000
19,152.0,304.0000000000000
20,138.0,254.0000000000000
21,143.0,212.0000000000000
22,148.0,194.0000000000000
23,204.0,155.0000000000000
24,291.0,152.0000000000000
25,376.0,138.0000000000000
26,432.0,143.0000000000000
27,462.0,148.0000000000000
28,502.0,204.0000000000000
29,504.0,291.0000000000000
30,496.0,210.8770052212034
31,515.0,432.0000000000000
32,424.0,311.8897325583897
33,311.0,356.9228127908727
34,256.0,400.4459689536109
35,253.0,431.5121782675276
36,290.0,450.8585247872693
37,283.0,470.1009673510885
38,279.0,456.2706771457619
39,314.0,412.6894740020333
40,213.0,253.0000000000000
41,204.0,290.0000000000000
42,148.0,283.0000000000000
43,149.0,279.0000000000000
44,138.0,314.0000000000000
45,116.0,213.0000000000000
46,108.0,204.0000000000000
47,198.0,148.0000000000000
48,282.0,149.0000000000000
49,411.0,138.0000000000000
50,458.0,116.0000000000000
51,455.0,108.0000000000000
52,563.0,198.0000000000000
53,557.0,161.5096816787026
54,602.0,197.6567771750918
55,519.0,261.6597440225643
56,406.0,320.5618208157950
57,426.0,360.8932745710565
58,361.0,421.5252921997395
59,317.0,602.0000000000000
60,265.0,504.1173931778723
61,255.0,508.5821752245105
62,223.0,426.0000000000000
63,246.0,462.2652658600102
64,263.0,317.0000000000000
65,225.0,265.0000000000000
66,154.0,255.0000000000000
67,158.0,223.0000000000000
68,151.0,246.0000000000000
69,134.0,263.0000000000000
70,164.0,225.0000000000000
71,246.0,154.0000000000000
72,358.0,158.0000000000000
73,507.0,151.0000000000000
74,472.0,134.0000000000000
75,477.0,164.0000000000000
76,510.0,246.0000000000000
77,614.0,358.0000000000000
78,562.0,507.0000000000000
79,524.0,321.9716815619117
80,389.0,366.9801770933382
81,415.0,399.9861239653367
82,391.0,432.9902867757356
83,287.0,487.2932007430149
84,298.0,509.7052405201104
85,311.0,513.9936683640772
86,364.0,476.4955678548540
87,249.0,458.0468974983978
88,241.0,287.0000000000000
89,218.0,298.0000000000000
90,168.0,311.0000000000000
91,212.0,364.0000000000000
92,135.0,249.0000000000000
93,147.0,241.0000000000000
94,198.0,218.0000000000000
95,245.0,168.0000000000000
96,328.0,212.0000000000000
97,446.0,135.0000000000000
98,493.0,147.0000000000000
99,449.0,198.0000000000000
100,400.0,245.0000000000000
101,505.0,328.0000000000000
102,446.0,446.0000000000000
103,561.0,493.0000000000000
104,416.0,360.6127083392049
105,364.0,400.0000000000000
106,289.0,390.9902270862104
107,298.0,425.1931589603473
108,269.0,431.4352112722430
109,249.0,470.3046478905701
110,246.0,454.0132535233990
111,296.0,289.0000000000000
112,202.0,298.0000000000000
113,202.0,269.0000000000000
114,196.0,332.2271821709680
115,138.0,307.2590275196776
116,142.0,296.0000000000000
117,98.0,291.0169234846420
118,152.0,202.0000000000000
119,186.0,196.0000000000000
120,207.0,138.0000000000000
121,252.0,142.0000000000000
122,254.0,98.0000000000000
123,262.0,152.0000000000000
124,245.0,186.0000000000000
125,226.0,207.0000000000000
126,203.0,252.0000000000000
127,248.0,200.1440292226538
128,315.0,262.0000000000000
129,305.0,230.0105743191004
130,252.0,226.0000000000000
131,260.0,203.0000000000000
132,299.0,248.0000000000000
133,247.0,315.0000000000000
134,250.0,255.9816272258112
135,236.0,252.0000000000000
136,260.0,260.0000000000000
137,229.0,299.0000000000000
138,167.0,274.1896886969172
139,152.0,266.0327820878421
140,125.0,236.0000000000000
141,120.0,253.6560632230426
142,108.0,229.0000000000000
143,131.0,167.0000000000000
144,187.0,152.0000000000000
145,190.0,201.9898207798525
146,243.0,178.8928745458967
147,291.0,161.2250121821277
148,275.0,131.0000000000000
149,316.0,140.9802559692426
150,297.0,154.7861791784698
151,283.0,165.3503254249288
152,336.0,188.6452277974502
153,312.0,219.3516594582151
154,330.0,236.0461616207506
155,339.0,260.0323131345254
156,319.0,271.1226191941678
157,292.0,274.6858334359174
158,291.0,293.0800834051421
159,306.0,298.7560583835995
160,267.0,308.1292408685196
161,224.0,317.3904686079637
162,183.0,317.8733280255746
163,129.0,310.1113296179022
164,130.0,304.3779307325316
165,158.0,304.8645515127721
166,188.0,293.5051860589405
167,216.0,272.6536302412583
168,301.0,245.7575411688808
169,366.0,210.7302788182166
170,495.0,186.5111951727516
171,585.0,177.9578366209261
172,604.0,180.9704856346482
173,570.0,301.0000000000000
174,595.0,366.0000000000000
175,603.0,495.0000000000000
176,463.0,585.0000000000000
177,469.0,410.1990895206153
178,412.0,570.0000000000000
179,371.0,595.0000000000000
180,342.0,603.0000000000000
181,416.0,550.2804013938996
182,437.0,524.0962809757298
183,405.0,507.5673966830108
184,384.0,478.8971776781076
185,255.0,446.5280243746753
186,243.0,416.0000000000000
187,202.0,415.4187319435908
188,158.0,421.8931123605136
189,209.0,416.8251786523595
190,218.0,406.9776250566516
191,333.0,361.3843375396561
192,449.0,325.8690362777592
193,530.0,158.0000000000000
194,632.0,209.0000000000000
195,581.0,237.3470794432714
196,557.0,333.0000000000000
197,595.0,449.0000000000000
198,577.0,530.0000000000000
199,579.0,632.0000000000000
200,337.0,456.7621636420306
201,438.0,494.0335145494214
202,359.0,595.0000000000000
203,325.0,537.5464221292165
204,290.0,549.3824954904514
205,296.0,558.2677468433160
206,286.0,491.8874227903211
207,306.0,475.7211959532248
208,240.0,325.0000000000000
209,162.0,290.0000000000000
210,141.0,371.1953702119561
211,149.0,348.6367591483693
212,170.0,329.8457314038585
213,154.0,322.6920119827009
214,172.0,162.0000000000000
215,256.0,141.0000000000000
216,356.0,149.0000000000000
217,513.0,200.2983520770464
218,460.0,191.2088464539325
219,469.0,180.0461925177527
220,590.0,177.6323347624269
221,601.0,201.1426343336988
222,552.0,513.0000000000000
223,513.0,460.0000000000000
224,490.0,469.0000000000000
225,372.0,397.6377465035210
